# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1758346236543000000,1758346255247000000,0
workspaceModel.global.updates.count,1758346236543000000,1758346255247000000,2
workspaceModel.mutableEntityStorage.instances.count,1758346236543000000,1758346255247000000,31
workspaceModel.mutableEntityStorage.add.entity.ms,1758346236543000000,1758346255247000000,27
workspaceModel.moduleManagerBridge.load.all.modules.ms,1758346236543000000,1758346255247000000,24
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1758346236543000000,1758346255247000000,0
jps.app.storage.content.reader.load.component.ms,1758346236543000000,1758346255247000000,5
jps.storage.jps.conf.reader.load.component.ms,1758346236543000000,1758346255247000000,2
workspaceModel.save.cache.to.file.ms,1758346236543000000,1758346255247000000,99
jps.reload.project.entities.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1758346236543000000,1758346255247000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758346236543000000,1758346255247000000,5
jps.save.changed.project.entities.ms,1758346236543000000,1758346255247000000,2
jps.module.iml.entities.serializer.save.entities.ms,1758346236543000000,1758346255247000000,0
jps.artifact.entities.serializer.save.entities.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1758346236543000000,1758346255247000000,4
workspaceModel.load.cache.metadata.from.file.ms,1758346236543000000,1758346255247000000,15
workspaceModel.moduleBridge.update.option.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1758346236543000000,1758346255247000000,0
jps.app.storage.content.writer.save.component.ms,1758346236543000000,1758346255247000000,9
jps.artifact.entities.serializer.load.entities.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1758346236543000000,1758346255247000000,0
jps.project.serializers.save.ms,1758346236543000000,1758346255247000000,2
jps.global.get.library.by.name.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleBridge.before.changed.ms,1758346236543000000,1758346255247000000,0
jps.global.handle.before.change.events.ms,1758346236543000000,1758346255247000000,0
workspaceModel.sync.entities.ms,1758346236543000000,1758346255247000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1758346236543000000,1758346255247000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1758346236543000000,1758346255247000000,169
workspaceModel.do.save.caches.ms,1758346236543000000,1758346255247000000,88
workspaceModel.moduleManagerBridge.create.module.instance.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1758346236543000000,1758346255247000000,0
jps.library.entities.serializer.save.entities.ms,1758346236543000000,1758346255247000000,0
jps.facet.change.listener.process.change.events.ms,1758346236543000000,1758346255247000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1758346236543000000,1758346255247000000,1
workspaceModel.global.updates.ms,1758346236543000000,1758346255247000000,53
jps.save.global.entities.ms,1758346236543000000,1758346255247000000,31
jps.project.serializers.load.ms,1758346236543000000,1758346255247000000,55
jps.global.initialize.library.bridges.ms,1758346236543000000,1758346255247000000,0
jps.global.get.libraries.ms,1758346236543000000,1758346255247000000,0
jps.global.initialize.library.bridges.after.loading.ms,1758346236543000000,1758346255247000000,1
jps.load.initial.state.ms,1758346236543000000,1758346255247000000,21
cacheStateStorage.get.counter,1758346236543000000,1758346255247000000,15
cacheStateStorage.get.duration,1758346236543000000,1758346255247000000,0
cacheStateStorage.set.duration,1758346236543000000,1758346255247000000,67
cacheStateStorage.set.counter,1758346236543000000,1758346255247000000,53
Indexing.writesQueuedMax,1758346236543000000,1758346255247000000,0
Indexing.writesQueuedMin,1758346236543000000,1758346255247000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1758346236543000000,1758346255247000000,0
Indexing.cache.totalCacheEvicted,1758346236543000000,1758346255247000000,18643
Indexes.entries.lookupDurationMaxMs,1758346236543000000,1758346255247000000,0.0
Indexing.cache.totalCacheMisses,1758346236543000000,1758346255247000000,18643
Indexes.allKeys.lookupDurationAvgMs,1758346236543000000,1758346255247000000,0.0
Indexes.entries.lookupDurationAvgMs,1758346236543000000,1758346255247000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1758346236543000000,1758346255247000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1758346236543000000,1758346255247000000,0
Indexes.allKeys.lookups,1758346236543000000,1758346255247000000,0
Indexes.stubs.lookupDuration90PMs,1758346236543000000,1758346255247000000,0.0
Indexes.entries.lookupDuration90PMs,1758346236543000000,1758346255247000000,0.0
Indexes.entries.lookups,1758346236543000000,1758346255247000000,1
Indexes.stubs.lookupDurationAvgMs,1758346236543000000,1758346255247000000,0.0
Indexing.totalTimeIndexersSleptMs,1758346236543000000,1758346255247000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1758346236543000000,1758346255247000000,0
Indexing.cache.totalCacheAccesses,1758346236543000000,1758346255247000000,51593
Indexes.stubs.lookupDurationMaxMs,1758346236543000000,1758346255247000000,0.0
Indexes.stubs.lookups,1758346236543000000,1758346255247000000,2264
Indexes.allKeys.lookupDuration90PMs,1758346236543000000,1758346255247000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1758346236543000000,1758346255247000000,0.0
